event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM2091,2021-03-03,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2837,39.6116,2
MZM2089,2021-03-03,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2290,39.6327,0
MZM2095,2021-03-03,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2290,39.6327,0
MZM2088,2021-03-03,Battles,Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2290,39.6327,3
MZM2094,2021-03-02,Battles,Mozambique,"Cabo Delgado",Palma,Quionga,-10.6167,40.4083,0
MZM2086,2021-03-02,"Violence against civilians",Mozambique,Sofala,Cheringoma,Inhaminga,-18.4036,34.9958,0
MZM2084,2021-03-01,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2107,39.7118,2
MZM2085,2021-03-01,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2290,39.6327,0
MZM2083,2021-02-27,Riots,Mozambique,"Cabo Delgado",Palma,Quionga,-10.5961,40.5098,0
MZM2081,2021-02-27,Battles,Mozambique,"Cabo Delgado",Palma,Quionga,-10.6167,40.4083,0
MZM2082,2021-02-27,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,0
MZM2074,2021-02-26,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Quionga,-10.5961,40.5098,7
MZM2080,2021-02-25,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,4
MZM2073,2021-02-25,Battles,Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,6
MZM2079,2021-02-23,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,4
MZM2070,2021-02-22,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,M'Tamba,-11.2833,39.8327,2
MZM2071,2021-02-22,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Quionga,-10.5961,40.5098,0
MZM2069,2021-02-20,Battles,Mozambique,"Cabo Delgado",Palma,Quionga,-10.5961,40.5098,0
MZM2068,2021-02-19,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Quionga,-10.5961,40.5098,4
MZM2066,2021-02-16,"Explosions/Remote violence",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2461,40.1611,0
MZM2067,2021-02-16,Battles,Mozambique,"Cabo Delgado",Muidumbe,Chitunda,-11.8081,40.0064,0
MZM2065,2021-02-15,"Explosions/Remote violence",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM2064,2021-02-12,"Explosions/Remote violence",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM2063,2021-02-11,"Explosions/Remote violence",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
